movie,year,imdb,metascore,votes,description
Moneyball,(2011),7.6,87        ,418845,"
Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players."
The Cabin in the Woods,(2011),7.0,72        ,413288,"
Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
In Time,(2011),6.7,53        ,408387,"
In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system."
Transformers: Dark of the Moon,(2011),6.2,42        ,406618,"
The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets."
Fast Five,(2011),7.3,66        ,379238,"
Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent."
Friends with Benefits,(2011),6.5,63        ,366086,"
A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications."
Super 8,(2011),7.0,72        ,353533,"
During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
50/50,(2011),7.6,72        ,329599,"
Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
Real Steel,(2011),7.0,56        ,326465,"
In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot."
Hugo,(2011),7.5,83        ,322059,"
In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton."
Contagion,(2011),6.8,70        ,302627,"
Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure."
Bridesmaids,(I) (2011),6.8,75        ,290986,"
Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
Green Lantern,(2011),5.5,39        ,284290,"
Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps."
Kung Fu Panda 2,(2011),7.2,67        ,282299,"
Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past."
Rango,(2011),7.2,75        ,263079,"
Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
Unknown,(I) (2011),6.8,56        ,261285,"
When a man awakens from a coma only to discover that someone has taken on his identity, he teams up with a young woman to prove who he is."
The Adjustment Bureau,(2011),7.0,60        ,256846,"
The affair between a politician and a contemporary dancer is affected by mysterious forces keeping the lovers apart."
The Grey,(2011),6.8,64        ,252321,"
After their plane crashes in Alaska, six oil workers are led by a skilled huntsman to survival, but a pack of merciless wolves haunts their every step."
Paul,(2011),6.9,57        ,251928,"
Two English comic book geeks traveling across the U.S. encounter an alien outside Area 51."
A Separation,(2011),8.3,95        ,243831,"
A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease."
Just Go with It,(2011),6.4,33        ,243442,"
On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
Sucker Punch,(2011),6.0,33        ,242657,"
A young girl institutionalized by her abusive stepfather retreats to an alternative reality as a coping strategy and envisions a plan to help her escape."
The Descendants,(2011),7.3,84        ,241795,"
A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident."
The Artist,(I) (2011),7.9,89        ,240923,"
An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era."
The Twilight Saga: Breaking Dawn - Part 1,(2011),4.9,45        ,239862,"
The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks."
The Lincoln Lawyer,(2011),7.3,63        ,237752,"
A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime."
Harry Potter and the Deathly Hallows: Part 2,(2011),8.1,85        ,861229,"
Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
The Intouchables,(2011),8.5,57        ,844271,"
After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
Thor,(2011),7.0,57        ,837926,"
The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
Captain America: The First Avenger,(2011),6.9,66        ,833931,"
Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization."
X: First Class,(2011),7.7,65        ,687730,"
In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
Drive,(I) (2011),7.8,78        ,630072,"
An action drama about a mysterious Hollywood stuntman and mechanic who moonlights as a getaway driver, and finds himself in trouble when he helps out his neighbor."
Limitless,(I) (2011),7.4,59        ,568258,"
A mysterious pill that enables the user to access 100% of his brain's abilities transforms a struggling writer into a financial wizard, but it also puts him in a new world with many dangers."
Rise of the Planet of the Apes,(2011),7.6,68        ,525431,"
A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising."
Pirates of the Caribbean: On Stranger Tides,(2011),6.6,45        ,523188,"
Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
Source Code,(2011),7.5,74        ,516843,"
A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes."
"Crazy, Stupid, Love.",(2011),7.4,68        ,515814,"
A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
The Hangover Part II,(2011),6.4,44        ,496588,"
Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry."
Mission: Impossible - Ghost Protocol,(2011),7.4,73        ,487550,"
The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name."
Warrior,(2011),8.2,71        ,468753,"
The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
The Girl with the Dragon Tattoo,(2011),7.8,71        ,460019,"
Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander."
The Help,(2011),8.1,62        ,455382,"
An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
Sherlock Holmes: A Game of Shadows,(2011),7.4,48        ,451664,"
Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe."
Horrible Bosses,(2011),6.9,57        ,446957,"
Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness."
Midnight in Paris,(2011),7.7,81        ,421204,"
While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
Moneyball,(2011),7.6,87        ,418845,"
Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players."
The Cabin in the Woods,(2011),7.0,72        ,413288,"
Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
In Time,(2011),6.7,53        ,408387,"
In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system."
Transformers: Dark of the Moon,(2011),6.2,42        ,406618,"
The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets."
Fast Five,(2011),7.3,66        ,379238,"
Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent."
Friends with Benefits,(2011),6.5,63        ,366086,"
A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications."
Super 8,(2011),7.0,72        ,353533,"
During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
50/50,(2011),7.6,72        ,329599,"
Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
Real Steel,(2011),7.0,56        ,326465,"
In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot."
Hugo,(2011),7.5,83        ,322059,"
In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton."
Contagion,(2011),6.8,70        ,302627,"
Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure."
Bridesmaids,(I) (2011),6.8,75        ,290986,"
Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
Green Lantern,(2011),5.5,39        ,284290,"
Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps."
Kung Fu Panda 2,(2011),7.2,67        ,282299,"
Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past."
Rango,(2011),7.2,75        ,263079,"
Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
Unknown,(I) (2011),6.8,56        ,261285,"
When a man awakens from a coma only to discover that someone has taken on his identity, he teams up with a young woman to prove who he is."
The Adjustment Bureau,(2011),7.0,60        ,256846,"
The affair between a politician and a contemporary dancer is affected by mysterious forces keeping the lovers apart."
The Grey,(2011),6.8,64        ,252321,"
After their plane crashes in Alaska, six oil workers are led by a skilled huntsman to survival, but a pack of merciless wolves haunts their every step."
Paul,(2011),6.9,57        ,251928,"
Two English comic book geeks traveling across the U.S. encounter an alien outside Area 51."
A Separation,(2011),8.3,95        ,243831,"
A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease."
Just Go with It,(2011),6.4,33        ,243442,"
On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
Sucker Punch,(2011),6.0,33        ,242657,"
A young girl institutionalized by her abusive stepfather retreats to an alternative reality as a coping strategy and envisions a plan to help her escape."
The Descendants,(2011),7.3,84        ,241795,"
A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident."
The Artist,(I) (2011),7.9,89        ,240923,"
An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era."
The Twilight Saga: Breaking Dawn - Part 1,(2011),4.9,45        ,239862,"
The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks."
The Lincoln Lawyer,(2011),7.3,63        ,237752,"
A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime."
The Dark Knight Rises,(2012),8.4,78        ,1678469,"
Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
Django Unchained,(2012),8.4,81        ,1522917,"
With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
The Avengers,(2012),8.0,69        ,1373561,"
Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity."
The Hunger Games,(2012),7.2,68        ,908467,"
Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death."
The Hobbit: An Unexpected Journey,(2012),7.8,58        ,812716,"
A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
Silver Linings Playbook,(2012),7.7,81        ,704438,"
After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
Skyfall,(2012),7.8,81        ,691709,"
James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
The Amazing Spider-Man,(2012),6.9,66        ,649354,"
After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe."
Life of Pi,(2012),7.9,79        ,624042,"
A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
Argo,(2012),7.7,86        ,611037,"
Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
Ted,(2012),6.9,62        ,609433,"
John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori."
Prometheus,(I) (2012),7.0,64        ,605210,"
Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
Looper,(2012),7.4,84        ,572071,"
In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
21 Jump Street,(2012),7.2,69        ,553199,"
A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring."
The Perks of Being a Wallflower,(2012),8.0,67        ,505796,"
An introvert freshman is taken under the wings of two seniors who welcome him to the real world."
Wreck-It Ralph,(2012),7.7,72        ,418512,"
A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
Brave,(2012),7.1,69        ,407898,"
Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
Cloud Atlas,(2012),7.4,55        ,361521,"
An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
Men in Black 3,(2012),6.8,58        ,360884,"
Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history."
Flight,(I) (2012),7.3,76        ,352214,"
An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling."
Moonrise Kingdom,(2012),7.8,84        ,347580,"
A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
Jack Reacher,(2012),7.0,50        ,339538,"
A homicide investigator digs deeper into a case involving a trained military sniper responsible for a mass shooting."
Les Misérables,(2012),7.5,63        ,328352,"
In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
The Hunt,(2012),8.3,77        ,325198,"
A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
The Expendables 2,(2012),6.6,51        ,306506,"
Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat."
Taken 2,(2012),6.2,45        ,306169,"
In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter."
The Dictator,(2012),6.4,58        ,304646,"
The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed."
Pitch Perfect,(2012),7.1,66        ,304143,"
Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
The Bourne Legacy,(2012),6.6,61        ,301516,"
An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films."
Zero Dark Thirty,(2012),7.4,95        ,298937,"
A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
Snow White and the Huntsman,(2012),6.1,57        ,288395,"
In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen."
Dredd,(2012),7.1,60        ,273671,"
In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO."
John Carter,(2012),6.6,51        ,271898,"
Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior."
The Place Beyond the Pines,(2012),7.3,68        ,267276,"
A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective."
Dark Shadows,(2012),6.2,55        ,266495,"
An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection."
Lincoln,(2012),7.3,86        ,259936,"
As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
Seven Psychopaths,(2012),7.1,66        ,256290,"
A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu."
Total Recall,(I) (2012),6.2,43        ,254104,"
A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run."
Hotel Transylvania,(2012),7.0,47        ,253125,"
Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter."
Chronicle,(2012),7.0,69        ,251330,"
Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides."
Sinister,(I) (2012),6.8,53        ,249524,"
Washed-up true crime writer Ellison Oswalt finds a box of super 8 home movies in his new home, revealing that the murder he is currently researching is the work of a serial killer whose legacy dates back to the 1960s."
The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52        ,248050,"
After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi."
Battleship,(2012),5.8,41        ,247910,"
A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals."
End of Watch,(2012),7.6,68        ,247160,"
Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves."
Lawless,(2012),7.2,58        ,241737,"
Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits."
Safe House,(2012),6.7,52        ,222675,"
A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge."
The Impossible,(2012),7.5,73        ,222625,"
The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami."
American Reunion,(2012),6.7,49        ,214041,"
Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion."
Project X,(2012),6.6,48        ,209231,"
Three high-school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads."
The Dark Knight Rises,(2012),8.4,78        ,1678469,"
Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
Django Unchained,(2012),8.4,81        ,1522917,"
With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
The Avengers,(2012),8.0,69        ,1373561,"
Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity."
The Hunger Games,(2012),7.2,68        ,908467,"
Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death."
The Hobbit: An Unexpected Journey,(2012),7.8,58        ,812716,"
A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
Silver Linings Playbook,(2012),7.7,81        ,704438,"
After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
Skyfall,(2012),7.8,81        ,691709,"
James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
The Amazing Spider-Man,(2012),6.9,66        ,649354,"
After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe."
Life of Pi,(2012),7.9,79        ,624042,"
A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
Argo,(2012),7.7,86        ,611037,"
Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
Ted,(2012),6.9,62        ,609433,"
John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori."
Prometheus,(I) (2012),7.0,64        ,605210,"
Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
Looper,(2012),7.4,84        ,572071,"
In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
21 Jump Street,(2012),7.2,69        ,553199,"
A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring."
The Perks of Being a Wallflower,(2012),8.0,67        ,505796,"
An introvert freshman is taken under the wings of two seniors who welcome him to the real world."
Wreck-It Ralph,(2012),7.7,72        ,418512,"
A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
Brave,(2012),7.1,69        ,407898,"
Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
Cloud Atlas,(2012),7.4,55        ,361521,"
An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
Men in Black 3,(2012),6.8,58        ,360884,"
Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history."
Flight,(I) (2012),7.3,76        ,352214,"
An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling."
Moonrise Kingdom,(2012),7.8,84        ,347580,"
A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
Jack Reacher,(2012),7.0,50        ,339538,"
A homicide investigator digs deeper into a case involving a trained military sniper responsible for a mass shooting."
Les Misérables,(2012),7.5,63        ,328352,"
In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
The Hunt,(2012),8.3,77        ,325198,"
A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
The Expendables 2,(2012),6.6,51        ,306506,"
Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat."
Taken 2,(2012),6.2,45        ,306169,"
In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter."
The Dictator,(2012),6.4,58        ,304646,"
The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed."
Pitch Perfect,(2012),7.1,66        ,304143,"
Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
The Bourne Legacy,(2012),6.6,61        ,301516,"
An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films."
Zero Dark Thirty,(2012),7.4,95        ,298937,"
A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
Snow White and the Huntsman,(2012),6.1,57        ,288395,"
In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen."
Dredd,(2012),7.1,60        ,273671,"
In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO."
John Carter,(2012),6.6,51        ,271898,"
Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior."
The Place Beyond the Pines,(2012),7.3,68        ,267276,"
A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective."
Dark Shadows,(2012),6.2,55        ,266495,"
An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection."
Lincoln,(2012),7.3,86        ,259936,"
As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
Seven Psychopaths,(2012),7.1,66        ,256290,"
A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu."
Total Recall,(I) (2012),6.2,43        ,254104,"
A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run."
Hotel Transylvania,(2012),7.0,47        ,253125,"
Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter."
Chronicle,(2012),7.0,69        ,251330,"
Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides."
Sinister,(I) (2012),6.8,53        ,249524,"
Washed-up true crime writer Ellison Oswalt finds a box of super 8 home movies in his new home, revealing that the murder he is currently researching is the work of a serial killer whose legacy dates back to the 1960s."
The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52        ,248050,"
After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi."
Battleship,(2012),5.8,41        ,247910,"
A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals."
End of Watch,(2012),7.6,68        ,247160,"
Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves."
Lawless,(2012),7.2,58        ,241737,"
Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits."
Safe House,(2012),6.7,52        ,222675,"
A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge."
The Impossible,(2012),7.5,73        ,222625,"
The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami."
American Reunion,(2012),6.7,49        ,214041,"
Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion."
Project X,(2012),6.6,48        ,209231,"
Three high-school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads."
