movie,year,imdb,metascore,votes,description
Blade II,2002,6.7,52,217365,"
Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires."
A Walk to Remember,2002,7.3,35,210667,"
Two North Carolina teens, Landon Carter and Jamie Sullivan, are thrown together after Landon gets into trouble and is sentenced to perform community service."
Austin Powers in Goldmember,2002,6.2,62,209492,"
Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil."
Adaptation.,2002,7.7,83,192140,"
A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen."
Lilo & Stitch,2002,7.3,73,189017,"
A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace."
About a Boy,2002,7.1,75,183659,"
A cynical, immature young man is taught how to act like a grown-up by a little boy."
Hero,2002,7.9,85,181162,"
A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
xXx,2002,5.8,48,179941,"
An extreme sports athlete, Xander Cage, is recruited by the government on a special mission."
25th Hour,2002,7.6,68,178542,"
Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term."
Punch-Drunk Love,2002,7.3,78,164274,"
Socially frustrated Barry Egan calls a phone-sex line to curb his loneliness. Little does he know it will land him in deep trouble and will jeopardize his burgeoning romance with the mysterious Lena."
Mr. Deeds,2002,5.8,24,144524,"
A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way."
Bowling for Columbine,2002,8.0,72,144512,"
Filmmaker Michael Moore explores the roots of America's predilection for gun violence."
We Were Soldiers,2002,7.1,65,141720,"
The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news."
The Scorpion King,2002,5.5,45,138364,"
A desert warrior rises up against the evil army that is destroying his homeland. He captures the enemy's key sorcerer, takes her deep into the desert and prepares for a final showdown."
The Count of Monte Cristo,2002,7.7,61,137934,"
A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
Reign of Fire,2002,6.2,39,136339,"
A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet."
Irreversible,2002,7.3,51,134288,"
Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in an underpass tunnel."
John Q,2002,7.0,30,133955,"
John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant."
My Big Fat Greek Wedding,2002,6.6,62,131928,"
A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity."
The Hours,2002,7.5,80,131735,"
The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives."
About Schmidt,2002,7.2,85,128774,"
A recently retired man embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected."
The Time Machine,2002,5.9,42,124804,"
Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races."
The Lord of the Rings: The Two Towers,2002,8.8,87,1630428,"
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Catch Me If You Can,2002,8.1,75,960847,"
Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
The Pianist,2002,8.5,85,818171,"
A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II."
Spider-Man,2002,7.4,73,807161,"
When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."
City of God,2002,8.6,79,749029,"
In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
Star Wars: Episode II - Attack of the Clones,2002,6.6,54,702767,"
Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi."
Harry Potter and the Chamber of Secrets,2002,7.4,63,624742,"
An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed."
Minority Report,2002,7.7,80,547077,"
In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
The Bourne Identity,2002,7.9,68,543534,"
A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
Ice Age,2002,7.5,61,478821,"
The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat."
Gangs of New York,2002,7.5,72,438698,"
In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer."
28 Days Later...,2002,7.5,73,410224,"
Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary."
Men in Black II,2002,6.1,49,372506,"
Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past."
Signs,2002,6.8,59,361218,"
A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come."
The Ring,2002,7.1,57,346564,"
A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it."
Equilibrium,2002,7.4,33,328496,"
In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state."
The Transporter,2002,6.8,51,302577,"
Frank Martin, who ""transports"" packages for unknown clients, is asked to move a package that soon begins moving, and complications arise."
Insomnia,2002,7.2,78,293985,"
Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen."
8 Mile,2002,7.1,77,286188,"
A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem."
Panic Room,2002,6.8,65,278794,"
A divorced woman and her diabetic daughter take refuge in their newly-purchased house's safe room, when three men break-in, searching for a missing fortune."
Red Dragon,2002,7.2,60,272292,"
A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter."
Resident Evil,2002,6.6,33,270105,"
A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident."
Phone Booth,2002,7.1,56,268136,"
Publicist Stuart Shepard finds himself trapped in a phone booth, pinned down by an extortionist's sniper rifle. Unable to leave or receive outside help, Stuart's negotiation with the caller leads to a jaw-dropping climax."
Road to Perdition,2002,7.7,72,266836,"
A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
Chicago,2002,7.2,81,229711,"
Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention."
Die Another Day,2002,6.1,56,219011,"
James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon."
Blade II,2002,6.7,52,217365,"
Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires."
A Walk to Remember,2002,7.3,35,210667,"
Two North Carolina teens, Landon Carter and Jamie Sullivan, are thrown together after Landon gets into trouble and is sentenced to perform community service."
Austin Powers in Goldmember,2002,6.2,62,209492,"
Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil."
Adaptation.,2002,7.7,83,192140,"
A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen."
Lilo & Stitch,2002,7.3,73,189017,"
A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace."
About a Boy,2002,7.1,75,183659,"
A cynical, immature young man is taught how to act like a grown-up by a little boy."
Hero,2002,7.9,85,181162,"
A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
xXx,2002,5.8,48,179941,"
An extreme sports athlete, Xander Cage, is recruited by the government on a special mission."
25th Hour,2002,7.6,68,178542,"
Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term."
Punch-Drunk Love,2002,7.3,78,164274,"
Socially frustrated Barry Egan calls a phone-sex line to curb his loneliness. Little does he know it will land him in deep trouble and will jeopardize his burgeoning romance with the mysterious Lena."
Mr. Deeds,2002,5.8,24,144524,"
A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way."
Bowling for Columbine,2002,8.0,72,144512,"
Filmmaker Michael Moore explores the roots of America's predilection for gun violence."
We Were Soldiers,2002,7.1,65,141720,"
The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news."
The Scorpion King,2002,5.5,45,138364,"
A desert warrior rises up against the evil army that is destroying his homeland. He captures the enemy's key sorcerer, takes her deep into the desert and prepares for a final showdown."
The Count of Monte Cristo,2002,7.7,61,137934,"
A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
Reign of Fire,2002,6.2,39,136339,"
A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet."
Irreversible,2002,7.3,51,134288,"
Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in an underpass tunnel."
John Q,2002,7.0,30,133955,"
John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant."
My Big Fat Greek Wedding,2002,6.6,62,131928,"
A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity."
The Hours,2002,7.5,80,131735,"
The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives."
About Schmidt,2002,7.2,85,128774,"
A recently retired man embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected."
The Time Machine,2002,5.9,42,124804,"
Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races."
The Lord of the Rings: The Return of the King,2003,9.0,94,1805542,"
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,63,1112564,"
Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
Kill Bill: Vol. 1,2003,8.2,69,1099753,"
After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Finding Nemo,2003,8.2,90,1031389,"
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
The Matrix Reloaded,2003,7.2,62,590069,"
Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation."
Oldboy,2003,8.4,77,570589,"
After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
X2: X-Men United,2003,7.4,68,546746,"
When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him."
The Matrix Revolutions,2003,6.7,47,509387,"
The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith."
Love Actually,2003,7.6,55,477629,"
Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Mystic River,2003,7.9,84,453596,"
The lives of three men who were childhood friends are shattered when one of them has a family tragedy."
Lost in Translation,2003,7.7,89,450361,"
A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo."
Big Fish,2003,8.0,58,439241,"
A frustrated son tries to determine the fact from fiction in his dying father's life."
The Last Samurai,2003,7.8,55,437151,"
An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle."
Bruce Almighty,2003,6.8,46,400651,"
A whiny news reporter is given the chance to step into God's shoes."
Terminator 3: Rise of the Machines,2003,6.3,66,397972,"
A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack."
The Italian Job,2003,7.0,68,366483,"
After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally."
School of Rock,2003,7.2,82,303475,"
After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band."
2 Fast 2 Furious,2003,5.9,38,272881,"
Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself."
Underworld,2003,7.0,42,269132,"
Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons."
Hulk,2003,5.6,54,267183,"
Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry."
Elf,2003,7.0,64,264052,"
Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit."
Bad Boys II,2003,6.6,38,249652,"
Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel."
Identity,2003,7.3,64,246581,"
Stranded at a desolate Nevada motel during a nasty rain storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one."
How to Lose a Guy in 10 Days,2003,6.4,45,236476,"
Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days."
21 Grams,2003,7.7,70,236095,"
A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
Old School,2003,7.0,54,231310,"
Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater."
Master and Commander: The Far Side of the World,2003,7.4,81,220554,"
During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America."
Daredevil,2003,5.3,42,219764,"
A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero."
Anger Management,2003,6.2,52,215466,"
Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor."
American Wedding,2003,6.3,43,205911,"
It's the wedding of Jim and Michelle and the gathering of their families and friends, including Jim's old friends from high school and Michelle's little sister."
Memories of Murder,2003,8.1,82,179379,"
In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
The League of Extraordinary Gentlemen,2003,5.8,30,176097,"
In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission."
Final Destination 2,2003,6.2,38,166334,"
Kimberly has a premonition of an accident killing multiple people including her and her friends. She blocks the cars behind her on the ramp and as a police trooper arrives, the accident happens. Death is stalking this group of survivors."
Once Upon a Time in Mexico,2003,6.3,56,162210,"
Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general."
Johnny English,2003,6.2,51,160394,"
After a sudden attack on MI5, Johnny English, Britain's most confident, yet unintelligent spy, becomes Britain's only spy."
Monster,2003,7.3,74,151251,"
Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer."
Cold Mountain,2003,7.2,73,148743,"
In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart."
Dogville,2003,8.0,60,148462,"
A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
S.W.A.T.,2003,6.0,45,147424,"
An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody, and only the L.A.P.D.'s Special Weapons and Tactics team can prevent it."
Scary Movie 3,2003,5.5,49,147406,"
Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion."
Good Bye Lenin!,2003,7.7,68,145931,"
In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
Bad Santa,2003,7.1,70,143673,"
A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid."
The Texas Chainsaw Massacre,2003,6.2,38,142357,"
After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding loon and his family of equally psychopathic killers."
Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,43,138503,"
Adventurer Lara Croft goes on a quest to save the mythical Pandora's Box, before an evil scientist finds it, and recruits a former Marine turned mercenary to assist her."
Freaky Friday,2003,6.3,70,138128,"
An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday."
The Recruit,2003,6.6,56,136261,"
A brilliant young CIA trainee is asked by his mentor to help find a mole in the Agency."
Matchstick Men,2003,7.3,61,131482,"
A phobic con artist and his protégé are on the verge of pulling off a lucrative swindle when the former's teenage daughter arrives unexpectedly."
The Lord of the Rings: The Return of the King,2003,9.0,94,1805542,"
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,63,1112564,"
Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
Kill Bill: Vol. 1,2003,8.2,69,1099753,"
After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Finding Nemo,2003,8.2,90,1031389,"
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
The Matrix Reloaded,2003,7.2,62,590069,"
Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation."
Oldboy,2003,8.4,77,570589,"
After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
X2: X-Men United,2003,7.4,68,546746,"
When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him."
The Matrix Revolutions,2003,6.7,47,509387,"
The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith."
Love Actually,2003,7.6,55,477629,"
Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Mystic River,2003,7.9,84,453596,"
The lives of three men who were childhood friends are shattered when one of them has a family tragedy."
Lost in Translation,2003,7.7,89,450361,"
A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo."
Big Fish,2003,8.0,58,439241,"
A frustrated son tries to determine the fact from fiction in his dying father's life."
The Last Samurai,2003,7.8,55,437151,"
An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle."
Bruce Almighty,2003,6.8,46,400651,"
A whiny news reporter is given the chance to step into God's shoes."
Terminator 3: Rise of the Machines,2003,6.3,66,397972,"
A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack."
The Italian Job,2003,7.0,68,366483,"
After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally."
School of Rock,2003,7.2,82,303475,"
After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band."
2 Fast 2 Furious,2003,5.9,38,272881,"
Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself."
Underworld,2003,7.0,42,269132,"
Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons."
Hulk,2003,5.6,54,267183,"
Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry."
Elf,2003,7.0,64,264052,"
Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit."
Bad Boys II,2003,6.6,38,249652,"
Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel."
Identity,2003,7.3,64,246581,"
Stranded at a desolate Nevada motel during a nasty rain storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one."
How to Lose a Guy in 10 Days,2003,6.4,45,236476,"
Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days."
21 Grams,2003,7.7,70,236095,"
A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
Old School,2003,7.0,54,231310,"
Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater."
Master and Commander: The Far Side of the World,2003,7.4,81,220554,"
During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America."
Daredevil,2003,5.3,42,219764,"
A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero."
Anger Management,2003,6.2,52,215466,"
Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor."
American Wedding,2003,6.3,43,205911,"
It's the wedding of Jim and Michelle and the gathering of their families and friends, including Jim's old friends from high school and Michelle's little sister."
Memories of Murder,2003,8.1,82,179379,"
In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
The League of Extraordinary Gentlemen,2003,5.8,30,176097,"
In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission."
Final Destination 2,2003,6.2,38,166334,"
Kimberly has a premonition of an accident killing multiple people including her and her friends. She blocks the cars behind her on the ramp and as a police trooper arrives, the accident happens. Death is stalking this group of survivors."
Once Upon a Time in Mexico,2003,6.3,56,162210,"
Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general."
Johnny English,2003,6.2,51,160394,"
After a sudden attack on MI5, Johnny English, Britain's most confident, yet unintelligent spy, becomes Britain's only spy."
Monster,2003,7.3,74,151251,"
Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer."
Cold Mountain,2003,7.2,73,148743,"
In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart."
Dogville,2003,8.0,60,148462,"
A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
S.W.A.T.,2003,6.0,45,147424,"
An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody, and only the L.A.P.D.'s Special Weapons and Tactics team can prevent it."
Scary Movie 3,2003,5.5,49,147406,"
Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion."
Good Bye Lenin!,2003,7.7,68,145931,"
In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
Bad Santa,2003,7.1,70,143673,"
A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid."
The Texas Chainsaw Massacre,2003,6.2,38,142357,"
After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding loon and his family of equally psychopathic killers."
Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,43,138503,"
Adventurer Lara Croft goes on a quest to save the mythical Pandora's Box, before an evil scientist finds it, and recruits a former Marine turned mercenary to assist her."
Freaky Friday,2003,6.3,70,138128,"
An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday."
The Recruit,2003,6.6,56,136261,"
A brilliant young CIA trainee is asked by his mentor to help find a mole in the Agency."
Matchstick Men,2003,7.3,61,131482,"
A phobic con artist and his protégé are on the verge of pulling off a lucrative swindle when the former's teenage daughter arrives unexpectedly."
The Lord of the Rings: The Return of the King,2003,9.0,94,1805542,"
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,63,1112564,"
Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
Kill Bill: Vol. 1,2003,8.2,69,1099753,"
After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Finding Nemo,2003,8.2,90,1031389,"
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
The Matrix Reloaded,2003,7.2,62,590069,"
Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation."
Oldboy,2003,8.4,77,570589,"
After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
X2: X-Men United,2003,7.4,68,546746,"
When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him."
The Matrix Revolutions,2003,6.7,47,509387,"
The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith."
Love Actually,2003,7.6,55,477629,"
Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Mystic River,2003,7.9,84,453596,"
The lives of three men who were childhood friends are shattered when one of them has a family tragedy."
Lost in Translation,2003,7.7,89,450361,"
A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo."
Big Fish,2003,8.0,58,439241,"
A frustrated son tries to determine the fact from fiction in his dying father's life."
The Last Samurai,2003,7.8,55,437151,"
An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle."
Bruce Almighty,2003,6.8,46,400651,"
A whiny news reporter is given the chance to step into God's shoes."
Terminator 3: Rise of the Machines,2003,6.3,66,397972,"
A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack."
The Italian Job,2003,7.0,68,366483,"
After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally."
School of Rock,2003,7.2,82,303475,"
After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band."
2 Fast 2 Furious,2003,5.9,38,272881,"
Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself."
Underworld,2003,7.0,42,269132,"
Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons."
Hulk,2003,5.6,54,267183,"
Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry."
Elf,2003,7.0,64,264052,"
Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit."
Bad Boys II,2003,6.6,38,249652,"
Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel."
Identity,2003,7.3,64,246581,"
Stranded at a desolate Nevada motel during a nasty rain storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one."
How to Lose a Guy in 10 Days,2003,6.4,45,236476,"
Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days."
21 Grams,2003,7.7,70,236095,"
A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
Old School,2003,7.0,54,231310,"
Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater."
