rating,comment
4.5,Very good introduction to text mining and sentiment analysis!
4.0,"I am still very new to R, so I do not understand everything that is taught completely.  But I am able to follow along and get results.  I have encountered some errors that were not addressed in the course, but so far I have been able to figure things out either via the Q&A or by looking around the internet for a few minutes."
4.0,"It was a reasonable course, teach consistently. Could have more examples and provide the source code of the classes."
5.0,very well structured ...great work Martin
4.0,Very well explained in a very understandable English. But needs to be updated.
5.0,Covers a lot of material on Text Mining and I may be able to use some of it at work.
3.0,Can't get enough data out of twitter anymore to be interesting
2.5,"Los videos tutoriales y los ejercicios a resolver son lo mismo cambiano únicamente el término de búsqueda, la idea de los ejercicios es practirar y llevar más allá lo ya expuesto en el curso, no re hacer lo que se vio en los videos anteriores"
5.0,I wish there is a follow-up class that covers mining Yelp and Amazon reviews + examples working with big data.
4.0,"Course is great, just could have been descriptive for sentiment analysis."
5.0,Excellent course for newcomers for sentiment analysis.
4.5,Thanks ! Was helpful when needed ! I didn't find it more engaging as the codes are already writing on the console.
5.0,This is my 2nd Udemy course and am very impressed with the author.  The course material is good. It serves as a good introduction to the packages for Text Mining and Sentiment analysis in R. I would recommend this course to other R programmers who are looking to get exposed to the packages in short amount of time.
4.0,"Good introduction of concepts with sample syntax, but dated."
5.0,I think this course is well designed. Most of resource of web scraping is useful
5.0,I am by no means a new user to R yet I have learnt so much already!!!!!!
5.0,Simple and effective course delivery! Loved it :)
5.0,"Great course, well worth the time."
5.0,excelente curso explicado de manera clara
5.0,"Very good course, good pace and well explained. Well worth the money"
3.0,"Good course to learn sentiment analysis - However, more details and advanced topics would have been helpful."
5.0,"Esta haciendo una introducción a las herramientas que se usaran en el curso, es decir, nos contextualiza al respecto de la generalidad. Aspiro a que cuando entre a lo particular sea igual de exhaustivo."
1.5,"VERY STOPPED, the teacher has all ready and just talks"
4.0,Very clear explanations
5.0,Martin and R-tutorials is the best way to learn R. He has incredibly deep insight with R and statistics.
4.5,it was a great experience and really its a fun...
3.5,Expecting a lot more topics in text mining and sentimental analysis
4.0,basic explanation is good
5.0,excellent experience
2.0,Voice is really specific
3.5,"Till Now, its fine and good.. Expecting more indepth coding to analyse the data"
3.5,Excellent course for begginers
5.0,I liked the topics covered in the tutorial. I even got a few ideas how to use those topics in my blog.
5.0,"congratulations, very good."
5.0,"Looks good, but looking for some real challenge now."
4.5,Very hands-on examples.
4.5,"Contents are well introduced.  I miss more detail in certain bits concerning the registration. So far, good."
3.5,So far the instructor was able to share quite clearly and laid the groundwork for more works ahead.
5.0,Awesome
1.0,"I do not understand the purpose of going through the pdfs. That is silly, waste of time."
2.0,The lecturer should provide package information more simply and make the explanation more simple or more understandable. 50% or 60% of the explanation is redundant.
0.5,"The material is outdated (2 years old) which means that some of the functions are not even available no more. Also, R has been offering for a few years now an excellent way to present code in RMarkdow, what's the purpose of using slides for which I cannot even see the output of the code that is run? That would probably help especially in those cases where the code is outdated and doesn't run."
4.0,Good detailed explanation
3.5,very short section
5.0,it gave me new things already
1.0,Hat leider schon bei der Authentifizierung gescheitert
4.5,very good
5.0,"This is easily applicable in marketing (my position). It is a quick and dirty method to see the opinions on Twitter regarding a product, company, person, etc. worth the time"
3.0,Interesting
5.0,This teacher is amazing! The material recommended is totally incredible.
0.5,"Really bad. Bad structure, bad content. Not easy to learn."
1.0,Nothing practical so far.
5.0,"A nice way to analyze Twitter. Everyone can understand this approach, simple lexicon."
5.0,superb lecturer.
4.5,Fine so far
3.0,Not sure if this course is going to be up to date at this point
5.0,Hands-on advice
2.5,Nothing constructive yet.
3.5,Haven't gotten far enough to give it a higher rating.
5.0,I love this course! very useful
5.0,Yes
5.0,Good start
3.0,Dont know yet
5.0,So far so good
5.0,Excellent!
5.0,"I was totally new to text mining, and this one was easy enought for a beginner to follow along and to understand the concepts."
4.5,"interesting content, easy to follow"
4.5,Best course
5.0,good
2.0,I was a expecting a more hands-on approach with tests and quizzes to learn alongside the course....now I need to redo the entire thing multiple times to get some kind of mastery over the topic.
4.0,"I rated this course a 4 because the content delivered was true to the objectives communicated.  I enjoyed the entire process of learning how to use Twitter to harvest tweets, then using R to process those tweets, and finally using Tableau for visualizing the data."
5.0,"This is a great course and well prepared. The instructor is making it easy to learn the R code. The best part is the integration. This  course is like a capstone project. It shows one how to do a project from scarping data and clean data, analyze data and visualize data.  I am happy that I chose this course , put time and efforts on this course.  Many thanks for the instructor. Wonderful job."
4.0,"Great course, very helpful. However, the instructor moves very quickly at times. I had to pause-unpause often and even watch this at 0.5 speed several times. He does things without narrating sometimes and the mouse moves so quickly it's a bit tricky. Other than that, highly recommend!"
4.0,"Very good practical example used, only would have loved to have more insight into sentiment analysis in r using other techniques not just the lexicon method."
5.0,"Great course on how to setup text mining using RStudio, data curation/cleaning, sentiment analysis and how to visualize this data using a Tableau dashboard.  Highly recommended!"
5.0,This is a very useful course that is a good introduction to text analysis and the manipulation of r tools
4.5,Curriculum is well laid out and articulated for learning how to extract and munge tweets; structure rules for opinion mining; and visualize the sentiment analysis.
3.5,"Overall this is very good. I feel there are some small gaps - though they could be inside me - it is never easy to separate one's own deficiencies from the instructor's content. If I don't have a means to extract a .rar file for the lexicon, it's my fault, I suppose. But it's a crucial step that would trip up some basis users. 7-zip got me through it. Overall I like it and the instructor, and that was just one example."
5.0,Marten has created another great and very practical course. He has struck a  balance between  demonstrating complexities in R and moving the analysis to Tableau to illustrate  insightful aspects of the data collected from twitter. The approach is lexicon based and Marten has outlined the pros and cons of the approach. I would like to see alternative ways of harvesting twitter content to include emoticons to complement the lexicon approach.
5.0,"Wow, this course is fantastic!! I completed it over two days and I can now perform sentiment analysis on tweets in R, explore the data in Tableau and present the results in an interactive dashboard. This course really takes you from 'absolute novice' to 'highly skilled at performing sentiment analysis on tweets'. As a result I feel confident adding 'sentiment analysis' to the skills section of my CV and know that if I am called on to do one, I will be able to do a really professional job of it. And as an added benefit I learnt a lot of new R commands and A LOT of hands-on Tableau stuff. Altogether an incredibly worthwhile course! I can't thank the creator enough!!"
4.5,I knew nothing about R or Tableau and this course really helped me a lot to keep my project easy and simple.
5.0,very good but require little bit slow
5.0,"Overall, the course was really outstanding. Two elements are covered that are so important and difficult to find information:"
4.0,"The sections on R were interesting - the section on Tableau was less interesting, however generally this was very good."
5.0,I have been struggling to find a course in tweeter Analytics until I enrolled for your work and i can't complain. The material is easy to understand and really interactive and applicable at the same time. I had little knowledge in R but the seamless with which the course materials are delivered is just precise. Thanks man
2.0,"There are no links to download code or data for the lexicon. There are several places where there are jumps that are not explained. Overall, I think this is the last time I try one of these courses. I am able to move along thanks to outside websites that cover the same topic and give more detailed information."
5.0,Much helpful course for analyst. I am glad to see this course on udemy. This is very systematic approach for a case study.
5.0,Thank you very much. I could follow the explanations very well and apply the to my own data. The instructor speaks very clearly and presents the content in a sistematic way.
5.0,It was because it introduced me to Tableau and familiarized me with coding.
5.0,"I needed to do analysis on text data I had already harvested - so I didn't need the R part of the lesson, but I learned a lot about extracting insights out of text using Tableau calculations and parameters"
5.0,Very very amazing course
1.0,lots of errors in between we get stuck and there is no one to help the course code is too confusing to follow
5.0,Yes. I'm learning about how these programs work in conjunction.
4.5,I want to learn more and to practice. That's great. Thank you.
4.5,"Instructor is very good in delivery.  The presentations are clear, concise and direct.  There is no halting speech, repetitive comments or irrelevant discussion. "
4.5,"good content, but a few more exercises would be nice."
5.0,"This is really good, I'm learning a lot of new techniques and the instructor is really good at explaining clearly. I have only little R experience and I find the level and path really comfortable."
3.5,Detailsaboutconnectingtotwitterareobsolete.Theyneedtobeupdated.
4.5,This is a great course. Thank you so much for doing this course. :)
5.0,Amazing course with sentiment analysis concept
4.5,Yes this is very helpful even if I am not going to use day to day
5.0,Super strukturiert und nachvollziehbar erklärt
5.0,your tutorial is very clear...thanks a lot.
5.0,Enhancing Tableau with R capabilities is a good idea. 
5.0,"It is surprisingly easy to integrate R into Tableau. There is even a feature in Tableau that lets you do that. At the R side there are some packages that need to be installed first, but these are explained in the course. "
5.0,so far so good. love the new format (business case based)
5.0,Its good and better explained....
5.0,Interesting concept which I did not think about so far. The course videos follow a logical order. The slides do support a lot in understanding the material. Overall well developed.
2.0,the course is outdated! and no effort has been made to change it
5.0,Very helpful and friendly support when there are questions - even for questions outside the course script
3.5,Good course.
5.0,very good way to explain
5.0,So far so good!
4.5,great information
5.0,The course is easy to follow. Interesting approach to sentiment analysis.
5.0,Yes it was good
5.0,I think the use case outlined here is relevant in the real world. Instructor videos contain extra slides to follow the code. Much info packed in a few hours.
5.0,Good quality so far. Course is exactly what I expected. Actionable advice.
4.0,easy to follow and comprehend
5.0,The method shown in the course is quite interesting. I could not find it somewhere else so far. Basically you are combining Tableau and R to get a nice graph and to display the results. Videos are really clear and have a good pace.
5.0,Step by step instructions are easy to follow.
5.0,"The idea presented here does make a lot of sense if you need to present data to a wider audience, especially in business and marketing. That is why I took it and I am positive that I can use the method at work."
5.0,Very good video presentations. And the course structure makes sense. It is a combination approach with R and Tableau.
5.0,"the content is presented in an easy going way, which is great. I could follow along easy although R is not my strength (yet)."
5.0,"Awesome, the Tableau training was very valuable"
5.0,"Speed of delivery was very good, slides in the videos help a lot in understanding the concepts. Course is great for people in marketing."
3.0,needs to have some more basic knowledge before going straight into technical terms.
5.0,Pace and delivery are very good. I would take this course again since I learned what I needed.
1.0,"Awful , you need a develepor account which is way hard to get , these bastards wont tell you that ."
4.5,I enjoyed this course. Useful and Applicable
3.0,provide some bookmarks for this required
1.0,"The description of this course did NOT mention that Twitter made it much more difficult to obtain developer accounts. Despite following all the directions in this course, I was not able to get authorization to collect Twitter data, which is STEP ONE, and without it, this course is useless."
4.0,I am new to analysing twitter in R & this is interesting so far.
5.0,I am pretty convinced that I can use this on a project at work.
5.0,Very easy to follow lecture
5.0,its awesome
4.5,yes
3.5,so far so good.
4.0,.
5.0,NA
5.0,good
5.0,Good
5.0,good course
5.0,Well explained all the concepts ❤️Bam!
5.0,"An amazing experience, Thank You."
5.0,"Amazing course ....... Because of this course, I am capable to supervise multiple MS thesis .... Thank you Dr. Taimur for such a valuable course"
3.5,Many videos were not fully recorded and the volume vary in each video. Examples were good but could be explained further
4.5,Professor TAimoor khan made Text Mining accessible for someone like me with very little programming experience. The step-by-step approach breaks down Text Mining neatly.
5.0,Pro: Course contains many notebooks with detailed explanations of how to implement text mining.
5.0,"An outstanding course that provides a ton of missing details not covered in other courses. Kudos to Sir Taimoor for his teaching style, passion and wealth of information!"
5.0,An absolutely wonderful course! I learned a lot about text mining. I think it is a must-take course for those who are interested in project based learning.
5.0,This course widely covers Text Mining topics and explained very well. The codes are practical and useful. I'll recommend to everyone who is interested in Text Mining.
4.5,Very useful Boot camp for beginners in Text mining. it takes you from scratch
2.0,Can not follow all explanations.
5.0,Don't underestimate the tutor if you aim to become Pioneer in Machine Learning. Both thumbs up !!!
4.5,Amazing
4.0,"It is going very good until now. I found that it is very to the point without creating any confusions. Yeah, It is very much helpful for me. Keep it up"
5.0,Very Helping course and very to the point and precise explanation of every concept
4.5,Simple and informative.
5.0,"Exceptional! Gets right to the point and explains very well. The instructors explained everything clearly and nicely, just what I needed."
5.0,Beautiful Professor !!
5.0,It is so simple to understand for a beginner as well
5.0,Excellent Elaboration
3.5,audio is poor
5.0,"Amazing, above expectations! recommended."
5.0,"Clear, simple and concise"
4.5,Good illustration with good pace.
1.5,Instructor is explaining the concepts at very fast pace and the conceptual and code explanation is not for beginners.
2.0,its my fault that i didnt grasp the statistics behind ML models
5.0,"Really good course. Covers exactly what it promises, which is text mining for beginners! There is no redundant information, such as introduction to python or extensive no sense theoretical talks. Someone who knows python and data modeling, just comes here to learn text mining."
4.0,Good for beginners and but requires some familiarity with Python.
5.0,Superb Course ! The instructor has explained the output in detail and ensured that user can understand why he is doing a particular step.
4.5,"Course is well organized. I got a basic understanding of NLP concepts like tokenization, lemmatization. I understood the context of Naive Bayes for sentiment analysis and for document classification problems. Explanation for solving the classification problem using NLTK and Scikit libraries is clear."
4.5,I loved this course. Explanations are very precise and emphasized well.
4.0,Experience was overall good . Learned a lot and the modules were up to the point . A great learning experience.
4.5,"It was very easy to understand and straight to the point . I was hoping for some more contents on topic modeling but since this is a beginners class, the course fits its description"
3.0,The content was good but the person presenting needs to be learn to talk in a way that doesn't go up and down so much and halt every other word. Its very distracting.
4.0,"It's exactly what it promises. Includes some data and python files, good walkthroughs. Really can't complain. Good for a short, free course on NLP."
4.0,"For free good for nlp absolute basics, I would recommend watching this first and after that moving on different courses, because nlp has a lot of little things you need to remember"
4.0,"The Course was well organized, perfect for people who are just starting with NLP. More, courses from Statinfer Solutions are eagerly awaited on other Machine Learning Topics."
4.0,I have attended couple of other courses in various platforms and I can definitely say that that your way of explaining Bayes theorem is best so far.
4.0,The course till now is very good. It provides step by step process of how to process data. However the video content is bad in each video and that makes learning difficult.
4.5,"a little bit too much repeating the same things over and over, but the content is in general very interesting and presented in simple and structured way. for a total newbie it was easy to follow."
3.0,"I cannot find the supporting codes and slides for the class. If I can get access to these resources, it would be perfect."
4.0,The class was helpful and informative. The math equations were a little unclear for me.
2.5,The coding examples could have been more clear. The tutor can explain the code rather than just executing it.
5.0,"This course has been very helpful, it will take you through all the essentials down to intermediate level, but of course you will have to do the labs to get to advanced levels. I enjoyed this course and i would recommend it to those interested in data analysis, text data is very important also."
4.5,I want to do text mining on dataset. These dataset i have but i can't do text mining for all fields which are present in that dataset so i request you to tell me how to do this. I want to perform TFIDF algorithm on dataset.
4.5,"Very Informative, appriciate"
4.0,Course is highly helpful for beginner as text Analytics and explanation is clear and concise.
4.0,"I am a beginner to intermediate python user, and i find this course useful. However i am struggling with coding. EIther you are skipping some steps or maybe you are too focused to teach what the title of the course says. Overal its a very good course, just that i rate it as per my experience."
5.0,This was a good intro into NLP with python. I loved the projects (real life examples).
4.0,great course!
5.0,nice one......  go for it if you wish to learn basics of NLP
2.5,I can not follow some of the talks. the instructor has a strong accent.
4.5,Very good course to begin with for  NLP and sentiment analysis
5.0,The instructor is very good. He explains very well in simple language.
3.5,"O curso é bem aplicado, mas poderia ter questões que fizessem a teoria ser mais aplicada."
5.0,"Great course, well explained each and every topic in easiest way."
3.0,"I've missed the practical part, exercises or training sessions"
1.0,very monotonous failed to develop interest..its simple the code walk-through no details about concept ..very disappointing.
5.0,Excellent and clear way of explaining for someone who is just getting into text mining.
2.5,You must explain what is spider.
3.0,It's hard to hear the voice clearly (
5.0,Clear and crisp explanation. Wish he could teach Machine Learning with Azure
4.5,step by stem narration is very effective
5.0,Good analysis and very much relevant
3.5,It was a good lesson. Thanks.
5.0,This course contains a very detailed review of the NLTK package
5.0,Amazing and great efforts!
3.0,İyi olacak gibi.
4.5,really good for absolute beginers
5.0,Good for beginners.
5.0,GOOD START FOR NLP BIGINERS
4.5,This course perfectly matches what I supposed to learn
5.0,Nice collection but felt sleepy.
5.0,"As a beginner, this course is perfectly match for me. He is explaining very well from basic."
4.5,Very nice lecture that begineers can also understand.
4.0,"yes, it is good"
4.0,Nice learning experience.
5.0,Very informative sessions. Thank you.
2.0,Seems a bit sloppy and not as easy to follow as some other Udemy Python courses.
4.0,too fast
3.5,"yes,this is a good match to start a NLP."
4.0,Very Nice and crisp course
4.0,Bcz of good streaming
5.0,yes
5.0,Good
5.0,good
2.0,The course content and instructor did not resonate with me.
5.0,So far simple to understand
5.0,good
5.0,Awesome.
4.0,goood
3.5,descent
5.0,Excellent course for beginners like me to understand NLP terminologies.
5.0,Well explained everything.
5.0,The most amazing and easy course on NPL. This is one of my best course.
5.0,I never thought that learning Natural Language Processing could be so much easy. You have explained everything in a very simple way. Thank you very much!
5.0,So far so good. This course has increased my interest in Machine Learning especially in NLP.
5.0,The instructor has explained such an important concept in simplest manner with the help of practical examples.
1.5,The instructutor does not provide the necesaary guides as other courses about how to install correctly the proper material for the course
5.0,The instructor has an excellent way of explaining the utility and power of Machine learning in R for data/text mining and natural language processing.
5.0,Interesting course for learning the importance of machine learning in R for data and text mining and natural language processing.
4.5,I really liked the scope of the module. So far the learning has been great!!
5.0,Excellent presentation of such an important and valuable course by the instructor.
3.0,"The instructor doesn't explain a lot of the functions, methods, and their intuitions. For example, in the section on HTML scraping, why are we suing function(x) in sapply to extract words spoken by Trump or Clinton?"
5.0,One of the best courses on data/text mining and natural language processing. The course has vast avenues for practical usage.
5.0,Data mining and natural language processing in R is a course which can be of utmost usage in practical applications. It contains valuable information. The instructor has complete knowledge of the subject. Her lectures are interesting and engaging.
3.5,Relevant topic; code details are frequently only poorly explained limiting the understanding of the code and the ability to tweak it where needed.
5.0,The course is ideally suited for my work as it deals with the utility of machine learning in R for data/text mining and natural language processing. Practical examples make the course all the more interesting. The instructor has total command over the subject.
5.0,Consistent and constructive course. Recommended!
5.0,The course was simple to follow and learning was made simple.
5.0,Outstanding course
5.0,I love that this is effortless learning via my mobile phone.
3.0,examples and files are not in a good structure. The video of course 58 does not fit together with the presented content. No voice o at the end of course 59. Overall it is a good overview of the topics DM and NLP in R
5.0,Data mining and natural language processing in R is the course I was looking for. The course is ideally suited for my work. The instructor's teaching style is interesting and easy to understand.
5.0,I find the course interesting and certainly value-addition to my domain knowledge. The instructor has planned the lectures in the best possible way to make it easy to grasp. Her knowledge of the subject is extensive and updated.
5.0,The course is very valuable for my work and has immense potential for its useful applicability. the instructor has a fantastic way to bring home various aspects of the contents of the course.
5.0,Very interesting course. Everything is perfect. There are lots of quizzes and resources. Generally big course like this drag the lectures. But this course lectures are informative and not dragging. Totally satisfied.
5.0,"Phew...! Finally finish watching all sections. Really loving the course and the way instructor delivers and clears our concepts are tremendous! Very deep, practical knowledge, very good teaching style!"
5.0,"I absolutely enjoyed this course, very informative and very important resources! New things are being uploaded continuously. Excellent course for data mining!"
5.0,There could have been more information about the Data Mining & Natural Language Processing in R. Really enjoyed the course. Really nice and comprehensive course!
5.0,"It wasn't easy to find an informative and perfect course for Data mining in R. I have several hours to find this course and guess, I am totally satisfied! This course is organized, informative, lots of resources and well explained. I appreciate the hard effort of the instructor!"
5.0,"""R Programming"" forces you to dive in deep. These skills serve as a strong basis for the rest of the data science specialization. Material is in depth, but presented clearly. Highly recommended!"
5.0,Excellent resource for learning data mining & natural language. It is truly valuable. I wish there were more practice problems during the course. Thank you for such great course!
5.0,Really enjoyed the course! Excellent resources and the combination of theory and practical is just awesome! Data mining is really easy for me know!
5.0,The course contents are very useful for practical application. The concept has been brilliantly explained by the instructor with practical examples.
5.0,The course has great content and materials. Sessions are awesome! I must say this is a premium one. I learned so many things. Data mining is fun!
5.0,It's hands-on course for my purpose. I will be able to apply the concepts in my research. It contains vital and critical information which has been brilliantly explained by the instructor in the lectures.
5.0,"Great explanation! It is really an amazing course. As I had some general idea of  Natural Language Processing, This course was so easy for me!"
5.0,It is a well-designed and intense course on data mining and machine learning. Quite intense and good R details
5.0,Content is good and well explained in simpler way so its easy to understand. I believe no one could explain such a detailed way! Thanks a lot!
5.0,Great course & lots to learn in this course! The sessions are very very easy to understand. Resources are  very good. Really enjoyed!
5.0,It is a good quality resource on data mining and very hands-on implementation in R. I like the use of real data
5.0,The instructor is very knowledgeable and I have learnt many practical data science techniques in R. I hope to use these professionally
5.0,I am enjoying the course and it is very in-depth. The focus on temporal data is a nice touch. I would recommend having some lectures on recommender engines too.
5.0,I was looking for this kind of information for my research. the course perfectly matches with my requirement.
1.5,"Beginning was very good. Bit when it comes to supervised learning it become mess.Also Author dosenot writes code online.Somecases not executes functions,which was written."
2.5,"Excellent topics, great coverage but the rest is a box of assorted chocolates. Please revise the course and let me know. I would like to re-do the complete course."
5.0,Very detailed course. I am learning a lot and the part on data mining in R is well explained
5.0,This is one of the most cohesive and comprehensive resources on data mining and machine learning out there
5.0,"I'm enjoying this course. It's quite a time commitment with a full time job, but examples are well explained and "
5.0,Very intense course on data science in R. Thanks for covering the part on feature selection
5.0,A very good structured tutorial and beautifully exemplified theory. Big thumbs up! :D
5.0,Kind of slow for people with prior knowledge of image processing. But I suppose absolute beginners will benefit from having a detailed overview of R
2.5,1) The Course coverage is good as its touched upon all critical concepts of data analytics.
5.0,"This course is very important for personal and professional development, I believe everyone should take such a course."
2.5,"I don't like that she just runs a line of code without really explaining the parameters of the function and when line of code is wrong, she skips it instead of trying to make it work."
5.0,Very good introduction to data mining and analytics in R
5.0,Covers all concepts and examples nicely. Nicely structured course.
2.0,Very mechanical course that only teaches you how to run different codes in R without giving any detailed explanations on how and why different input values in different algorithms impact these algorithms and how the algorithms work.
5.0,Lot of R related tips and tricks have been covered
5.0,What I love about this course is the delivery of content.
5.0,I am really interested in real world data mining and this course has really started off quite brilliantly by explaining the different modalities of data acquisition
5.0,All the topics are covered with a great detail
5.0,Its trying to cover too many topics of R data science but very good once you get a hang of things
